# BUSCO version is: 5.7.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	contig	2962515	2958292	-	1843.7	1175	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	contig	2966620	2962592	-	1274.7	799	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	contig	1315219	1319106	+	261.7	411	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	contig	1073699	1076329	+	588.7	525	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	contig	1470475	1468454	-	770.8	489	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	contig	3115139	3113316	-	564.1	438	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	contig	1298789	1300588	+	735.2	490	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	contig	3287310	3288710	+	331.4	276	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	contig	572433	575030	+	516.2	425	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	contig	387923	389695	+	606.5	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	contig	2602760	2601462	-	326.0	279	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	contig	1552221	1553738	+	273.7	282	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	contig	1333127	1331835	-	416.2	312	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	contig	559314	560816	+	177.9	209	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	contig	861334	860060	-	337.4	282	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	contig	3256841	3258223	+	578.8	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	contig	817244	818407	+	180.7	217	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	contig	969143	968160	-	432.4	293	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	contig	1402981	1404558	+	309.2	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	contig	2376866	2375484	-	212.6	232	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	contig	950483	951781	+	365.0	284	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	contig	432874	433863	+	263.4	225	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	contig	2069546	2071264	+	824.4	532	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	contig	94982	92949	-	200.4	299	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	contig	1311925	1311242	-	286.0	205	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	contig	3254359	3255900	+	641.7	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	contig	2975856	2974828	-	138.6	180	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	contig	394742	395752	+	429.7	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	contig	1414290	1413253	-	465.7	314	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	contig	2940078	2941367	+	684.2	417	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	contig	1833799	1832501	-	93.0	230	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	contig	422540	423361	+	234.5	186	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	contig	1531737	1532822	+	328.8	266	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
