#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:1298789-1300588|+ -            600 182107at2            -            492  6.9e-222  735.2   6.4   1   1    2e-222  7.9e-220  728.5   6.4     1   491     4   594     4   595 0.89 contig_2_1244 # 1298789 # 1300588 # 1 # ID=1_1244;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
contig_3:3113316-3115139|- -            608 182107at2            -            492   3.3e-44  149.2   3.4   1   2   1.7e-41   6.8e-39  131.7   1.9     1   231     5   278     5   286 0.76 contig_3_2950 # 3113316 # 3115139 # -1 # ID=2_2950;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.536
contig_3:3113316-3115139|- -            608 182107at2            -            492   3.3e-44  149.2   3.4   2   2   1.5e-06   0.00061   16.4   0.0   261   350   341   424   312   430 0.80 contig_3_2950 # 3113316 # 3115139 # -1 # ID=2_2950;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.536
contig_2:415492-417606|+   -            705 182107at2            -            492   9.1e-33  111.5   0.1   1   4   5.2e-24   2.1e-21   74.0   0.0     2   134    11   168    10   201 0.79 contig_2_373 # 415492 # 417606 # 1 # ID=1_373;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
contig_2:415492-417606|+   -            705 182107at2            -            492   9.1e-33  111.5   0.1   2   4     0.054        22    1.4   0.0   118   160   246   291   239   305 0.76 contig_2_373 # 415492 # 417606 # 1 # ID=1_373;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
contig_2:415492-417606|+   -            705 182107at2            -            492   9.1e-33  111.5   0.1   3   4   2.3e-09   9.4e-07   25.7   0.0   157   314   312   491   295   504 0.69 contig_2_373 # 415492 # 417606 # 1 # ID=1_373;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
contig_2:415492-417606|+   -            705 182107at2            -            492   9.1e-33  111.5   0.1   4   4     0.028        11    2.3   0.0   322   351   612   641   601   691 0.71 contig_2_373 # 415492 # 417606 # 1 # ID=1_373;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
contig_4:37562-39481|+     -            640 182107at2            -            492   3.1e-28   96.5   4.4   1   3   1.6e-24   6.4e-22   75.7   0.4     1   134     3   154     3   166 0.80 contig_4_45 # 37562 # 39481 # 1 # ID=3_45;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.363
contig_4:37562-39481|+     -            640 182107at2            -            492   3.1e-28   96.5   4.4   2   3   1.5e-07     6e-05   19.7   0.1   133   326   216   431   196   440 0.74 contig_4_45 # 37562 # 39481 # 1 # ID=3_45;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.363
contig_4:37562-39481|+     -            640 182107at2            -            492   3.1e-28   96.5   4.4   3   3      0.96   3.9e+02   -2.7   0.0   320   340   533   553   521   576 0.83 contig_4_45 # 37562 # 39481 # 1 # ID=3_45;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.363
contig_2:560841-563519|+   -            893 182107at2            -            492   5.7e-26   89.0   0.6   1   2   2.7e-28   1.1e-25   88.1   0.2     5   194   397   599   395   614 0.81 contig_2_528 # 560841 # 563519 # 1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
contig_2:560841-563519|+   -            893 182107at2            -            492   5.7e-26   89.0   0.6   2   2       1.4   5.7e+02   -3.3   0.0   175   201   811   837   776   840 0.77 contig_2_528 # 560841 # 563519 # 1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
contig_3:2395665-2397254|- -            530 182107at2            -            492   1.6e-23   80.9   0.5   1   2   3.9e-21   1.6e-18   64.5   0.0     2   128    14   162    13   171 0.82 contig_3_2277 # 2395665 # 2397254 # -1 # ID=2_2277;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
contig_3:2395665-2397254|- -            530 182107at2            -            492   1.6e-23   80.9   0.5   2   2   7.5e-05      0.03   10.8   0.1   220   312   372   469   202   483 0.70 contig_3_2277 # 2395665 # 2397254 # -1 # ID=2_2277;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.543
contig_2:417678-418862|+   -            395 182107at2            -            492   6.5e-13   46.0   0.1   1   1   3.6e-15   1.4e-12   44.8   0.1     3   200    14   249    13   276 0.68 contig_2_374 # 417678 # 418862 # 1 # ID=1_374;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.540
contig_3:2970741-2971925|- -            395 182107at2            -            492   6.5e-13   46.0   0.1   1   1   3.6e-15   1.4e-12   44.8   0.1     3   200    14   249    13   276 0.68 contig_3_2822 # 2970741 # 2971925 # -1 # ID=2_2822;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
contig_2:144457-146307|+   -            617 182107at2            -            492   2.7e-12   43.9   0.0   1   1   9.8e-15     4e-12   43.4   0.0     8   196     7   209     1   217 0.78 contig_2_137 # 144457 # 146307 # 1 # ID=1_137;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.571
contig_2:973316-974755|+   -            480 182107at2            -            492   5.2e-11   39.7   0.1   1   2      0.19        77   -0.4   0.0     8    24    34    50    29    58 0.80 contig_2_918 # 973316 # 974755 # 1 # ID=1_918;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.544
contig_2:973316-974755|+   -            480 182107at2            -            492   5.2e-11   39.7   0.1   2   2   6.4e-13   2.6e-10   37.4   0.0    25   122    80   182    63   195 0.80 contig_2_918 # 973316 # 974755 # 1 # ID=1_918;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.544
contig_2:1374433-1375905|+ -            491 182107at2            -            492   1.2e-09   35.2   0.0   1   2     0.044        18    1.7   0.0    66   152    73   159     5   173 0.68 contig_2_1309 # 1374433 # 1375905 # 1 # ID=1_1309;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
contig_2:1374433-1375905|+ -            491 182107at2            -            492   1.2e-09   35.2   0.0   2   2   4.5e-11   1.8e-08   31.3   0.1     5   158   206   375   203   388 0.73 contig_2_1309 # 1374433 # 1375905 # 1 # ID=1_1309;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
contig_2:1302530-1303435|+ -            302 182107at2            -            492   0.00023   17.8   0.1   1   1   8.2e-07   0.00033   17.3   0.1     5   157    12   175     9   185 0.76 contig_2_1247 # 1302530 # 1303435 # 1 # ID=1_1247;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      busco_downloads/bacteria_odb10/hmms/182107at2.hmm
# Target file:     output_files/busco_raw/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout output_files/busco_raw/run_bacteria_odb10/hmmer_output/182107at2.out --cpu 1 busco_downloads/bacteria_odb10/hmms/182107at2.hmm output_files/busco_raw/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /scratch/yazanalq/Assignment-1---Binf6110
# Date:            Sun Feb  8 19:21:27 2026
# [ok]
